id,date,cctv_1_image,cctv_2_image,cctv_3_image,sensor_1_value,sensor_2_value
1,2024-11-01 00:02:00,C:\images\cctv_1_20241101064700.jpg,C:\images\cctv_2_20241101064700.jpg,C:\images\cctv_3_20241101064700.jpg,,8.0
2,2024-11-01 00:49:00,C:\images\cctv_1_20241101163700.jpg,C:\images\cctv_2_20241101163700.jpg,C:\images\cctv_3_20241101163700.jpg,,8.0
4,2024-11-01 01:45:00,,C:\images\cctv_2_20241101075000.jpg,C:\images\cctv_3_20241101075000.jpg,,7.0
5,2024-11-01 02:05:00,C:\images\cctv_1_20241101075800.jpg,C:\images\cctv_2_20241101075800.jpg,,41098.0,4.0
6,2024-11-01 02:49:00,C:\images\cctv_1_20241101024900.jpg,,C:\images\cctv_3_20241101024900.jpg,30365.0,7.0
9,2024-11-01 04:45:00,,,C:\images\cctv_3_20241101093900.jpg,33568.0,8.0
10,2024-11-01 05:02:00,C:\images\cctv_1_20241031214300.jpg,C:\images\cctv_2_20241031214300.jpg,C:\images\cctv_3_20241031214300.jpg,34604.0,4.0
11,2024-11-01 05:49:00,C:\images\cctv_1_20241101074400.jpg,C:\images\cctv_2_20241101074400.jpg,,39956.0,7.0
12,2024-11-01 06:38:00,C:\images\cctv_1_20241101152300.jpg,,C:\images\cctv_3_20241101152300.jpg,39861.0,8.0
13,2024-11-01 06:47:00,C:\images\cctv_1_20241101093100.jpg,C:\images\cctv_2_20241101093100.jpg,,38742.0,5.0
15,2024-11-01 07:23:00,C:\images\cctv_1_20241101144800.jpg,,C:\images\cctv_3_20241101144800.jpg,30328.0,5.0
16,2024-11-01 07:44:00,,C:\images\cctv_2_20241101155900.jpg,C:\images\cctv_3_20241101155900.jpg,33881.0,4.0
17,2024-11-01 07:50:00,C:\images\cctv_1_20241101115400.jpg,C:\images\cctv_2_20241101115400.jpg,C:\images\cctv_3_20241101115400.jpg,33173.0,4.0
18,2024-11-01 07:53:00,C:\images\cctv_1_20241101160100.jpg,C:\images\cctv_2_20241101160100.jpg,,,8.0
23,2024-11-01 09:31:00,C:\images\cctv_1_20241031223100.jpg,,,38782.0,6.0
24,2024-11-01 09:39:00,C:\images\cctv_1_20241031185400.jpg,,,42781.0,4.0
25,2024-11-01 10:57:00,C:\images\cctv_1_20241101070600.jpg,C:\images\cctv_2_20241101070600.jpg,C:\images\cctv_3_20241101070600.jpg,43433.0,4.0
26,2024-11-01 10:58:00,C:\images\cctv_1_20241101063800.jpg,C:\images\cctv_2_20241101063800.jpg,C:\images\cctv_3_20241101063800.jpg,37804.0,7.0
27,2024-11-01 11:06:00,C:\images\cctv_1_20241101004900.jpg,C:\images\cctv_2_20241101004900.jpg,C:\images\cctv_3_20241101004900.jpg,32416.0,4.0
28,2024-11-01 11:54:00,C:\images\cctv_1_20241031171000.jpg,C:\images\cctv_2_20241031171000.jpg,C:\images\cctv_3_20241031171000.jpg,,8.0
29,2024-11-01 11:55:00,C:\images\cctv_1_20241101085800.jpg,C:\images\cctv_2_20241101085800.jpg,C:\images\cctv_3_20241101085800.jpg,,6.0
30,2024-11-01 12:20:00,,C:\images\cctv_2_20241101014500.jpg,C:\images\cctv_3_20241101014500.jpg,39420.0,6.0
32,2024-11-01 13:18:00,C:\images\cctv_1_20241101144100.jpg,C:\images\cctv_2_20241101144100.jpg,C:\images\cctv_3_20241101144100.jpg,30605.0,10.0
33,2024-11-01 14:09:00,C:\images\cctv_1_20241101131800.jpg,,C:\images\cctv_3_20241101131800.jpg,43162.0,4.0
35,2024-11-01 14:48:00,C:\images\cctv_1_20241101153900.jpg,C:\images\cctv_2_20241101153900.jpg,C:\images\cctv_3_20241101153900.jpg,,9.0
36,2024-11-01 15:23:00,C:\images\cctv_1_20241101131500.jpg,,C:\images\cctv_3_20241101131500.jpg,30675.0,7.0
38,2024-11-01 15:47:00,C:\images\cctv_1_20241101044500.jpg,C:\images\cctv_2_20241101044500.jpg,C:\images\cctv_3_20241101044500.jpg,,7.0
39,2024-11-01 15:59:00,C:\images\cctv_1_20241101020500.jpg,C:\images\cctv_2_20241101020500.jpg,C:\images\cctv_3_20241101020500.jpg,,7.0
41,2024-11-01 16:25:00,C:\images\cctv_1_20241031230200.jpg,,C:\images\cctv_3_20241031230200.jpg,,4.0
42,2024-11-01 16:37:00,C:\images\cctv_1_20241101000200.jpg,C:\images\cctv_2_20241101000200.jpg,C:\images\cctv_3_20241101000200.jpg,36514.0,9.0
43,2024-11-01 17:31:00,,,C:\images\cctv_3_20241101210700.jpg,39151.0,6.0
44,2024-11-01 18:12:00,C:\images\cctv_1_20241102134700.jpg,C:\images\cctv_2_20241102134700.jpg,C:\images\cctv_3_20241102134700.jpg,33454.0,8.0
45,2024-11-01 18:41:00,,C:\images\cctv_2_20241102111700.jpg,C:\images\cctv_3_20241102111700.jpg,36690.0,7.0
